"Time","Value"
1734705227500,
1734705228000,
1734705228500,
1734705229000,
1734705229500,
1734705230000,
1734705230500,
1734705231000,
1734705231500,
1734705232000,
1734705232500,
1734705233000,
1734705233500,
1734705234000,
1734705234500,
1734705235000,
1734705235500,
1734705236000,
1734705236500,
1734705237000,
1734705237500,
1734705238000,
1734705238500,
1734705239000,
1734705239500,
1734705240000,
1734705240500,
1734705241000,
1734705241500,
1734705242000,
1734705242500,
1734705243000,
1734705243500,
1734705244000,
1734705244500,
1734705245000,
1734705245500,
1734705246000,
1734705246500,
1734705247000,
1734705247500,
1734705248000,
1734705248500,
1734705249000,
1734705249500,
1734705250000,
1734705250500,
1734705251000,
1734705251500,
1734705252000,
1734705252500,
1734705253000,
1734705253500,
1734705254000,
1734705254500,
1734705255000,
1734705255500,
1734705256000,
1734705256500,
1734705257000,
1734705257500,
1734705258000,
1734705258500,
1734705259000,
1734705259500,
1734705260000,
1734705260500,
1734705261000,
1734705261500,
1734705262000,
1734705262500,
1734705263000,
1734705263500,
1734705264000,
1734705264500,
1734705265000,
1734705265500,
1734705266000,
1734705266500,
1734705267000,
1734705267500,
1734705268000,
1734705268500,
1734705269000,
1734705269500,
1734705270000,
1734705270500,
1734705271000,
1734705271500,
1734705272000,
1734705272500,
1734705273000,
1734705273500,
1734705274000,
1734705274500,
1734705275000,
1734705275500,
1734705276000,
1734705276500,
1734705277000,
1734705277500,
1734705278000,
1734705278500,
1734705279000,
1734705279500,
1734705280000,
1734705280500,
1734705281000,
1734705281500,
1734705282000,
1734705282500,
1734705283000,
1734705283500,
1734705284000,
1734705284500,
1734705285000,
1734705285500,
1734705286000,
1734705286500,
1734705287000,
1734705287500,
1734705288000,
1734705288500,
1734705289000,
1734705289500,
1734705290000,
1734705290500,
1734705291000,
1734705291500,
1734705292000,
1734705292500,
1734705293000,
1734705293500,
1734705294000,
1734705294500,
1734705295000,
1734705295500,
1734705296000,
1734705296500,
1734705297000,
1734705297500,
1734705298000,
1734705298500,
1734705299000,
1734705299500,
1734705300000,
1734705300500,
1734705301000,
1734705301500,
1734705302000,
1734705302500,
1734705303000,
1734705303500,
1734705304000,
1734705304500,
1734705305000,
1734705305500,
1734705306000,
1734705306500,
1734705307000,
1734705307500,
1734705308000,
1734705308500,
1734705309000,
1734705309500,
1734705310000,
1734705310500,
1734705311000,
1734705311500,
1734705312000,
1734705312500,
1734705313000,
1734705313500,
1734705314000,
1734705314500,
1734705315000,
1734705315500,
1734705316000,
1734705316500,
1734705317000,
1734705317500,
1734705318000,
1734705318500,
1734705319000,
1734705319500,
1734705320000,
1734705320500,
1734705321000,
1734705321500,
1734705322000,
1734705322500,
1734705323000,
1734705323500,
1734705324000,
1734705324500,
1734705325000,
1734705325500,
1734705326000,
1734705326500,
1734705327000,
1734705327500,
1734705328000,
1734705328500,
1734705329000,
1734705329500,
1734705330000,
1734705330500,
1734705331000,
1734705331500,
1734705332000,
1734705332500,
1734705333000,
1734705333500,
1734705334000,
1734705334500,
1734705335000,
1734705335500,
1734705336000,
1734705336500,
1734705337000,
1734705337500,
1734705338000,
1734705338500,
1734705339000,
1734705339500,
1734705340000,
1734705340500,
1734705341000,
1734705341500,
1734705342000,
1734705342500,
1734705343000,
1734705343500,
1734705344000,
1734705344500,
1734705345000,
1734705345500,
1734705346000,
1734705346500,
1734705347000,
1734705347500,
1734705348000,
1734705348500,
1734705349000,
1734705349500,
1734705350000,
1734705350500,
1734705351000,
1734705351500,
1734705352000,
1734705352500,
1734705353000,
1734705353500,
1734705354000,
1734705354500,
1734705355000,
1734705355500,
1734705356000,
1734705356500,
1734705357000,
1734705357500,
1734705358000,
1734705358500,
1734705359000,
1734705359500,
1734705360000,
1734705360500,
1734705361000,
1734705361500,
1734705362000,
1734705362500,
1734705363000,
1734705363500,
1734705364000,
1734705364500,
1734705365000,
1734705365500,
1734705366000,
1734705366500,
1734705367000,
1734705367500,
1734705368000,
1734705368500,
1734705369000,
1734705369500,
1734705370000,
1734705370500,
1734705371000,
1734705371500,
1734705372000,
1734705372500,
1734705373000,
1734705373500,
1734705374000,
1734705374500,
1734705375000,
1734705375500,
1734705376000,
1734705376500,
1734705377000,
1734705377500,
1734705378000,
1734705378500,
1734705379000,
1734705379500,
1734705380000,
1734705380500,
1734705381000,
1734705381500,
1734705382000,
1734705382500,
1734705383000,
1734705383500,
1734705384000,
1734705384500,
1734705385000,
1734705385500,
1734705386000,565
1734705386500,574
1734705387000,
1734705387500,
1734705388000,
1734705388500,579
1734705389000,
1734705389500,
1734705390000,
1734705390500,585
1734705391000,
1734705391500,
1734705392000,
1734705392500,589
1734705393000,
1734705393500,
1734705394000,592
1734705394500,
1734705395000,
1734705395500,
1734705396000,598
1734705396500,
1734705397000,
1734705397500,
1734705398000,600
1734705398500,
1734705399000,
1734705399500,
1734705400000,607
1734705400500,
1734705401000,
1734705401500,
1734705402000,609
1734705402500,
1734705403000,
1734705403500,611
1734705404000,
1734705404500,
1734705405000,
1734705405500,614
1734705406000,
1734705406500,
1734705407000,
1734705407500,616
1734705408000,
1734705408500,
1734705409000,
1734705409500,621
1734705410000,
1734705410500,
1734705411000,
1734705411500,622
1734705412000,
1734705412500,
1734705413000,623
1734705413500,
1734705414000,
1734705414500,
1734705415000,630
1734705415500,
1734705416000,
1734705416500,
1734705417000,629
1734705417500,
1734705418000,
1734705418500,
1734705419000,630
1734705419500,
1734705420000,
1734705420500,
1734705421000,633
1734705421500,
1734705422000,
1734705422500,633
1734705423000,
1734705423500,
1734705424000,
1734705424500,637
1734705425000,
1734705425500,
1734705426000,
1734705426500,638
1734705427000,
1734705427500,
1734705428000,
1734705428500,641
1734705429000,
1734705429500,
1734705430000,644
1734705430500,
1734705431000,
1734705431500,
1734705432000,644
1734705432500,
1734705433000,
1734705433500,
1734705434000,644
1734705434500,
1734705435000,
1734705435500,
1734705436000,645
1734705436500,
1734705437000,
1734705437500,
1734705438000,647
1734705438500,
1734705439000,
1734705439500,
1734705440000,649
1734705440500,
1734705441000,
1734705441500,
1734705442000,650
1734705442500,
1734705443000,
1734705443500,650
1734705444000,
1734705444500,
1734705445000,
1734705445500,652
1734705446000,
1734705446500,
1734705447000,
1734705447500,654
1734705448000,
1734705448500,
1734705449000,
1734705449500,654
1734705450000,
1734705450500,
1734705451000,655
1734705451500,
1734705452000,
1734705452500,
1734705453000,655
1734705453500,
1734705454000,
1734705454500,
1734705455000,659
1734705455500,
1734705456000,
1734705456500,
1734705457000,658
1734705457500,
1734705458000,
1734705458500,
1734705459000,659
1734705459500,
1734705460000,
1734705460500,661
1734705461000,
1734705461500,
1734705462000,
1734705462500,662
1734705463000,
1734705463500,
1734705464000,
1734705464500,661
1734705465000,
1734705465500,
1734705466000,
1734705466500,662
1734705467000,
1734705467500,
1734705468000,
1734705468500,665
1734705469000,
1734705469500,
1734705470000,662
1734705470500,
1734705471000,
1734705471500,
1734705472000,664
1734705472500,
1734705473000,
1734705473500,
1734705474000,667
1734705474500,
1734705475000,
1734705475500,
1734705476000,667
1734705476500,
1734705477000,
1734705477500,666
1734705478000,
1734705478500,
1734705479000,
1734705479500,667
1734705480000,
1734705480500,
1734705481000,
1734705481500,667
1734705482000,
1734705482500,
1734705483000,
1734705483500,668
1734705484000,
1734705484500,
1734705485000,
1734705485500,669
1734705486000,
1734705486500,
1734705487000,
1734705487500,668
1734705488000,
1734705488500,
1734705489000,670
1734705489500,
1734705490000,
1734705490500,
1734705491000,669
1734705491500,
1734705492000,
1734705492500,
1734705493000,670
1734705493500,
1734705494000,
1734705494500,
1734705495000,672
1734705495500,
1734705496000,
1734705496500,
1734705497000,672
1734705497500,
1734705498000,
1734705498500,672
1734705499000,
1734705499500,
1734705500000,
1734705500500,672
1734705501000,
1734705501500,
1734705502000,
1734705502500,674
1734705503000,
1734705503500,
1734705504000,
1734705504500,673
1734705505000,
1734705505500,
1734705506000,
1734705506500,675
1734705507000,
1734705507500,
1734705508000,
1734705508500,674
1734705509000,
1734705509500,
1734705510000,674
1734705510500,
1734705511000,
1734705511500,
1734705512000,676
1734705512500,
1734705513000,
1734705513500,
1734705514000,677
1734705514500,
1734705515000,
1734705515500,675
1734705516000,
1734705516500,
1734705517000,
1734705517500,677
1734705518000,
1734705518500,
1734705519000,
1734705519500,677
1734705520000,
1734705520500,
1734705521000,
1734705521500,678
1734705522000,
1734705522500,
1734705523000,
1734705523500,678
1734705524000,
1734705524500,
1734705525000,678
1734705525500,
1734705526000,
1734705526500,
1734705527000,678
1734705527500,
1734705528000,
1734705528500,
1734705529000,678
1734705529500,
1734705530000,
1734705530500,
1734705531000,678
1734705531500,
1734705532000,
1734705532500,
1734705533000,680
1734705533500,
1734705534000,
1734705534500,
1734705535000,681
1734705535500,
1734705536000,
1734705536500,680
1734705537000,
1734705537500,
1734705538000,
1734705538500,678
1734705539000,
1734705539500,
1734705540000,
1734705540500,682
1734705541000,
1734705541500,
1734705542000,
1734705542500,680
1734705543000,
1734705543500,
1734705544000,
1734705544500,681
1734705545000,
1734705545500,
1734705546000,683
1734705546500,
1734705547000,
1734705547500,
1734705548000,681
1734705548500,
1734705549000,
1734705549500,
1734705550000,682
1734705550500,
1734705551000,
1734705551500,
1734705552000,681
1734705552500,
1734705553000,
1734705553500,685
1734705554000,
1734705554500,
1734705555000,
1734705555500,683
1734705556000,
1734705556500,
1734705557000,
1734705557500,683
1734705558000,
1734705558500,
1734705559000,
1734705559500,682
1734705560000,
1734705560500,
1734705561000,
1734705561500,683
1734705562000,
1734705562500,
1734705563000,
1734705563500,685
1734705564000,
1734705564500,
1734705565000,682
1734705565500,
1734705566000,
1734705566500,
1734705567000,682
1734705567500,
1734705568000,
1734705568500,
1734705569000,683
1734705569500,
1734705570000,
1734705570500,
1734705571000,684
1734705571500,
1734705572000,
1734705572500,
1734705573000,686
1734705573500,
1734705574000,
1734705574500,682
1734705575000,
1734705575500,
1734705576000,
1734705576500,682
1734705577000,
1734705577500,
1734705578000,
1734705578500,684
1734705579000,
1734705579500,
1734705580000,
1734705580500,683
1734705581000,
1734705581500,
1734705582000,
1734705582500,684
1734705583000,
1734705583500,
1734705584000,682
1734705584500,
1734705585000,
1734705585500,
1734705586000,687
1734705586500,
1734705587000,
1734705587500,
1734705588000,684
1734705588500,
1734705589000,
1734705589500,
