"Time","Value"
1734707180000,
1734707180500,
1734707181000,
1734707181500,
1734707182000,
1734707182500,
1734707183000,
1734707183500,
1734707184000,
1734707184500,
1734707185000,
1734707185500,
1734707186000,
1734707186500,
1734707187000,
1734707187500,
1734707188000,
1734707188500,
1734707189000,
1734707189500,
1734707190000,
1734707190500,
1734707191000,
1734707191500,
1734707192000,686
1734707192500,
1734707193000,
1734707193500,
1734707194000,687
1734707194500,
1734707195000,
1734707195500,685
1734707196000,
1734707196500,
1734707197000,
1734707197500,686
1734707198000,
1734707198500,
1734707199000,
1734707199500,688
1734707200000,
1734707200500,
1734707201000,
1734707201500,687
1734707202000,
1734707202500,
1734707203000,
1734707203500,686
1734707204000,
1734707204500,
1734707205000,686
1734707205500,
1734707206000,
1734707206500,
1734707207000,688
1734707207500,
1734707208000,
1734707208500,
1734707209000,685
1734707209500,
1734707210000,
1734707210500,
1734707211000,687
1734707211500,
1734707212000,
1734707212500,
1734707213000,687
1734707213500,
1734707214000,
1734707214500,688
1734707215000,
1734707215500,
1734707216000,
1734707216500,688
1734707217000,
1734707217500,
1734707218000,
1734707218500,689
1734707219000,
1734707219500,
1734707220000,
1734707220500,686
1734707221000,
1734707221500,
1734707222000,
1734707222500,686
1734707223000,
1734707223500,
1734707224000,687
1734707224500,
1734707225000,
1734707225500,
1734707226000,688
1734707226500,
1734707227000,
1734707227500,
1734707228000,686
1734707228500,
1734707229000,
1734707229500,
1734707230000,685
1734707230500,
1734707231000,
1734707231500,
1734707232000,686
1734707232500,
1734707233000,
1734707233500,686
1734707234000,
1734707234500,
1734707235000,
1734707235500,687
1734707236000,
1734707236500,
1734707237000,
1734707237500,687
1734707238000,
1734707238500,
1734707239000,
1734707239500,689
1734707240000,
1734707240500,
1734707241000,
1734707241500,687
1734707242000,
1734707242500,
1734707243000,688
1734707243500,
1734707244000,
1734707244500,
1734707245000,687
1734707245500,
1734707246000,
1734707246500,
1734707247000,688
1734707247500,
1734707248000,
1734707248500,
1734707249000,688
1734707249500,
1734707250000,
1734707250500,
1734707251000,688
1734707251500,
1734707252000,
1734707252500,687
1734707253000,
1734707253500,
1734707254000,
1734707254500,688
1734707255000,
1734707255500,
1734707256000,
1734707256500,686
1734707257000,
1734707257500,
1734707258000,
1734707258500,686
1734707259000,
1734707259500,
1734707260000,
1734707260500,687
1734707261000,
1734707261500,
1734707262000,686
1734707262500,
1734707263000,
1734707263500,
1734707264000,688
1734707264500,
1734707265000,
1734707265500,
1734707266000,688
1734707266500,
1734707267000,
1734707267500,
1734707268000,689
1734707268500,
1734707269000,
1734707269500,
1734707270000,690
1734707270500,
